,username,location,following,followers,totaltweets,whentweetcreated,retweets,text
0,okarakus23,"Anamur, Türkiye",41,18,52,2021-01-06 19:00:32,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
1,ystemel1,Sakarya,15,3,98,2021-01-06 18:37:43,0,milyon dolarlık adamların borçlarının üstüne kırmızı kalem çekip çiftçinin işçinin üç kuruş borcuna icra gönderip birde sen hep mi diyorsunuz çok komik hakkaten 
2,Sude48116149,,101,9,53,2021-01-06 01:18:32,32,çok özledik be kemal abi
3,_gzey,Mersin,1381,476,771,2021-01-05 21:22:54,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
4,MusaYildirimFB,"Gaziantep, Türkiye",57,756,4578,2021-01-05 19:09:28,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
5,__destina,"İstanbul, Türkiye",485,262,3904,2021-01-05 18:50:56,0,bir reklam yapmışlar kemal sunal ile ama nasıl güzel gülmek hiç fena olur mu kemal abi 
6,Sametuysal_7,"Fatih, İstanbul",105,36,168,2021-01-05 15:30:58,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
7,samettuncer17,"Biga, Türkiye",2299,711,1797,2021-01-05 12:16:40,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
8,Tlin77183155,"Merkez, Uşak",96,10,331,2021-01-05 09:10:30,1,sonuna doğru boğazım düğümlendi hep kalbimizde olacaksın nur içinde yat güzel insan 
9,yaevdeyoksan_,Mesir Macunu,4936,4878,14121,2021-01-05 07:24:53,1,sonuna doğru boğazım düğümlendi hep kalbimizde olacaksın nur içinde yat güzel insan 
10,trk_hmz,"Samsun, Türkiye",59,69,9,2021-01-04 19:55:51,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
11,makepossiblee,,72,14,1079,2021-01-04 19:52:09,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
12,me3ve_,"Antwerpen, België",593,713,10701,2021-01-04 19:04:51,32,çok özledik be kemal abi
13,Penarr_,Bilmiyorum ,264,645,3220,2021-01-04 18:45:19,1,bu reklama kalbimi bıraktım 
14,samhoca,güvercinlerülkesi,170,65,2606,2021-01-04 18:12:41,1,bu reklama kalbimi bıraktım 
15,mustafagur1903,Türkiye,1759,843,2343,2021-01-04 16:52:55,0,muhteşem bir reklam daha teşekkürler sende iyi ki varsın
16,turuncnad1r,,181,36,457,2021-01-04 16:50:38,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
17,1benmerve,,102,19,2182,2021-01-04 16:40:06,0,kırmızı şal kırmızı patik kahve ve kemal sunal 
18,MinelsuB,"Lüleburgaz, Türkiye",139,176,5599,2021-01-04 16:22:27,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
19,MehmetD92585408,,16,13,90,2021-01-04 13:53:25,2,rahmet le anıyoruz ve gülümsüyoruz 
20,SedatSe98348320,"Wien, Österreich",431,134,2499,2021-01-04 12:28:08,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
21,naifruhluyarim,"Hatay, Türkiye",189,66,1042,2021-01-04 11:44:54,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
22,enesos44,Malatya,4978,2877,258621,2021-01-04 08:27:18,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
23,yalnizcaselda,33|43,1689,2434,3439,2021-01-04 07:47:27,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
24,Badem74071325,,11,0,44,2021-01-04 07:45:51,0,i lk defa gördüm gözlerim doldu 90 lı yılların çocuğu olarak keşke çocuklarımda seni görebilseydi dedim içimden kemal sunal 
25,Zey_blt,67🇫🇷,2076,2156,7624,2021-01-04 07:40:55,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
26,kaptan69684899,,271,172,7197,2021-01-04 06:07:54,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
27,Anl0690,"Ankara, Türkiye",456,911,77951,2021-01-03 23:38:41,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
28,FuatBurkay,Republic of Garga,462,411,1943,2021-01-03 21:14:38,0,ziraat bankası bir reklam yapmış tüylerim tek tek dikildi sen bir dünya yı güldürdün ışıklarda olsun kemal sunal teşekkürler 
29,seyhancakmaak,,357,173,219,2021-01-03 21:09:17,0,ziraat bankasının kemal sunal konseptli reklamını izlediniz mi şahane olmuş 
30,burcinksc,,75,69,1075,2021-01-03 21:08:21,0,ziraat bankası nın reklamı sen hayatımda gördüğüm en harika reklamsın 
31,birisik_merve,,86,40,77,2021-01-03 20:18:39,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
32,aliack01,,264,247,1061,2021-01-03 19:56:49,0,çok iyi reklam olmuş insanları kalbinden vurarak duygularını sömürmek zaten bankacılığın rotası olmuş oysa şube ziyaretlerinde bunu hissedemiyoruz kemal sunal bu ülkenin değeridir allah rahmet eylesin artık babasının bu şekilde kullanılmasına son vermeli
33,cansu45kivircik,"Manisa, Türkiye",110,284,918,2021-01-03 19:47:11,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
34,muratyaniks,İstanbul,206,71,371,2021-01-03 19:32:11,7,çok uğraştık ama oldu büyük ustaya saygıyla 
35,KaniSeven,,18,1,6,2021-01-03 19:28:57,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
36,DalgTekin,,446,169,8949,2021-01-03 18:26:47,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
37,Rapunzeeeeellll,Arsuz/Hatay,393,645,6696,2021-01-03 18:08:11,0,reklam gibi reklam bee başa sarıp sarıp izleyesim geliyor sevgi ve hasretle büyük usta
38,erremrre,Sakarya,216,127,437,2021-01-03 17:25:14,0,ailem mahallem yurdum milletim 
39,dePjae,"İstanbul, Türkiye",142,80,5299,2021-01-03 16:32:10,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
40,feslosum,,339,550,9981,2021-01-03 16:29:46,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
41,EmineKaraer10,Ankara,1493,1347,19895,2021-01-03 16:11:09,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
42,KbSonsuza,KB ,52,336,27844,2021-01-03 15:52:02,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
43,talatcan_guzel,Cyprus-Muğla/Türkiye🇹🇷,3222,3372,718,2021-01-03 15:48:11,0,i zleyince duygulanan bir ben değilimdir sanırım 
44,dakkvindak,"İstanbul, Türkiye",502,3043,2520,2021-01-03 15:40:09,0,zirat bankası reklamı çok güzelsin bee
45,thr_thrn,Denizli,1215,1608,20442,2021-01-03 15:16:17,1,ziraat bankasının reklamı muhteşem değil mi mekanı cennet olsun her izlediğimde gülen yüzüm dolan gözlerim 
46,melike_kivrak,"Tekirdağ, Türkiye",170,197,691,2021-01-03 15:12:54,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
47,KaguyaTotoro,,29,72,2857,2021-01-03 15:02:29,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
48,DygTy,,782,995,8342,2021-01-03 14:40:36,0,karmakarışık duygular yaşatan bir reklam gülerken gözlerimizin dolu dolu olması sen hep gül kemal abi senin gülüşüne ihtiyacımız var 
49,CansuKavasoglu,"Çanakkale, Türkiye",2129,2112,8293,2021-01-03 14:24:49,0,ah reklamın güzelliği 
50,arasm01,"Adana, Türkiye",66,79,589,2021-01-03 14:21:49,2,rahmet le anıyoruz ve gülümsüyoruz 
51,mehmetarass01,"Seyhan, Adana",112,189,3751,2021-01-03 14:21:25,2,rahmet le anıyoruz ve gülümsüyoruz 
52,LETT061,,44,13,133,2021-01-03 14:19:54,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
53,ozgunmenevsoglu,,333,323,1352,2021-01-03 13:47:57,0,reklam gibi reklam yapmışlar helal olsun 
54,Che_pelii,,1364,1809,4299,2021-01-03 13:47:50,1,ziraat bankasının reklamı muhteşem değil mi mekanı cennet olsun her izlediğimde gülen yüzüm dolan gözlerim 
55,mehmetugurcelik,"Eskişehir, Türkiye 📍",599,965,1670,2021-01-03 13:38:53,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
56,Nomade_inTr,Başkentin biri,66,66,498,2021-01-03 13:22:48,0,güzel reklam olmuş 
57,Legacypxa,,7,2,30,2021-01-03 13:04:25,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
58,Ahmetlmbz,,289,178,3497,2021-01-03 13:02:37,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
59,atac_basar,"İstanbul, Türkiye",1553,208,4591,2021-01-03 13:00:43,0, çok güzel bir reklam olmuş
60,caglanur_n,,54,43,52,2021-01-03 12:44:05,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
61,altinbasmelih,,414,710,4182,2021-01-03 11:52:17,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
62,Ahize_ve_kablo,,2542,155,1362,2021-01-03 11:45:47,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
63,Hatice_coruk,,547,361,1639,2021-01-03 11:22:28,2,ziraat bankası nın reklamını izledim dehşete düştüm sisteme insanı sömürmek yetmiyor resmen ölüyü sömürmeye başlamışlar ölülerimizi rahat bırakın lan
64,memmed_memmedli,Azerbaijan,265,183,1461,2021-01-03 10:56:46,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
65,MehmetEminOzs17,"Kuşadası, Türkiye",3281,7450,76395,2021-01-03 10:32:04,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
66,merveekm,,215,132,334,2021-01-03 10:22:07,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
67,HGlgner,,79,84,2449,2021-01-03 10:13:25,32,çok özledik be kemal abi
68,_ecemcakmak,"İzmir, Türkiye",11297,17463,6486,2021-01-03 10:11:24,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
69,erkinsestv,Türkiye,2,96,404,2021-01-03 09:38:59,0,kemal sunal türkiye ye gülümsemeyi hatırlattı ziraat bankası reklam filmi
70,umutmust7,"Antalya, Türkiye",489,792,10066,2021-01-03 09:26:11,32,çok özledik be kemal abi
71,Haticey_y,Rize/ İstanbul,49,122,20887,2021-01-03 09:24:59,2,ziraat bankası nın reklamını izledim dehşete düştüm sisteme insanı sömürmek yetmiyor resmen ölüyü sömürmeye başlamışlar ölülerimizi rahat bırakın lan
72,hilmininyeri,Türkiye,4169,4122,6057,2021-01-03 09:23:24,2,ziraat bankası nın reklamını izledim dehşete düştüm sisteme insanı sömürmek yetmiyor resmen ölüyü sömürmeye başlamışlar ölülerimizi rahat bırakın lan
73,ABDPOSTCOM,"New Jersey, USA",2289,1072,28939,2021-01-03 08:27:17,0,kemal sunal ziraat bankası reklamında ziraat bankası nın kemal sunal lı reklamı son günlerin en çok konuşulan konusu oldu başlığı ile lanse edilen reklam filminde mehmet kurt yeşilçam ın ustası kemal sunal a m
74,ylmzff,Dardayım,241,79,716,2021-01-03 07:29:44,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
75,gursoyarda89,"Bursa, Türkiye",138,209,2294,2021-01-03 05:54:57,0,ziraat bankası yıl kemal sunal aracılığıylatüylerim diken diken oldu
76,_blackeaglel903,,126,28,724,2021-01-02 23:57:24,7,çok uğraştık ama oldu büyük ustaya saygıyla 
77,ceycylan,,570,547,1426,2021-01-02 22:32:35,0,nasıl güzel bir reklamsın öyle 
78,ozaanyldrm,,4,130,11,2021-01-02 22:29:36,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
79,alpsteiin,,124,59,354,2021-01-02 22:22:18,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
80,_hamitaydin,République Démocratique Du Con,275,156,664,2021-01-02 22:00:48,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
81,brscnozy,Mersin - Bursa,395,1777,26297,2021-01-02 21:50:11,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
82,erdemkaratas12,"Kurtköy, İstanbul",44,130,1817,2021-01-02 21:43:31,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
83,UgurCag77373589,Türkiye,208,9,395,2021-01-02 21:36:25,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
84,arzudlk,İstanbul,94,96,439,2021-01-02 21:31:19,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
85,_bercestem_,"Konya, Türkiye  ",852,529,921,2021-01-02 21:22:40,0,kemal sunal ı görünce bir gülümse olmadı değil
86,NMuslera1,Fethiye,828,4448,67993,2021-01-02 21:13:36,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
87,MiiyEnes,Amasya/Mersin,143,167,2024,2021-01-02 20:58:38,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
88,Scoria1995,"İstanbul, Türkiye",55,57,684,2021-01-02 20:41:17,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
89,Tomriskahan,"Amsterdam, Nederland",104,53,5603,2021-01-02 20:15:47,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
90,Brkdemir4105,,121,44,265,2021-01-02 19:57:18,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
91,reyhanirracim,"İzmir, Türkiye",119,111,270,2021-01-02 18:54:53,0,kızın hem sen öyle güzel gülüyosun ki kemal abi gülüşün unutulmuyo dediği yerde koptu film bende tüm eleştirilere rağmen
92,f3llaini30,Gediz,95,92,260,2021-01-02 18:54:40,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
93,hasanhuseyn45,"Manisa, Türkiye",210,244,133,2021-01-02 18:05:30,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
94,selimuner,"Sakarya, Türkiye",170,53,153,2021-01-02 17:59:55,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
95,hedegizem,,99,254,22260,2021-01-02 17:54:19,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
96,gulsmymnnnnn,yarım saate her yerde,68,109,296,2021-01-02 17:52:06,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
97,fenerbahce1_9_,,521,8,543,2021-01-02 17:34:16,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
98,meiwethey,"Abakan, Russia",131,185,355,2021-01-02 17:04:16,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
99,NeslihanBadak,,70,9,11,2021-01-02 16:57:19,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
100,___angela____7,,682,88,1743,2021-01-02 16:54:57,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
101,aksoyibrahim63,,1087,841,2741,2021-01-02 16:49:58,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
102,YusufDA24993929,,37,6,34,2021-01-02 16:47:11,0,ah be kemal abi çoğu flminde bu zamanı anlatmışsın
103,okanbeler,Sakarya/İstanbul,553,1131,49981,2021-01-02 16:46:31,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
104,theetraderr,,504,167,5834,2021-01-02 16:35:50,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
105,asamettbulutt,Samsun,142,423,5730,2021-01-02 16:26:22,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
106,umuttyldz_,,94,216,2116,2021-01-02 15:51:51,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
107,AnatoliaTim,Vuslat,1433,1676,20292,2021-01-02 15:46:36,0,ziraatbank ın kemal sunal hologramı ile ya da bilgisayar simülasyonu ile yapılan reklamı baya güzel olmuş
108,yuksel061,Ankara,348,61,1134,2021-01-02 15:44:32,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
109,Zeynepbozx,"Antalya, Türkiye",193,217,1161,2021-01-02 15:39:00,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
110,Abdullah_ErRais,,574,89,644,2021-01-02 15:23:21,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
111,eyupkaner,,344,440,328,2021-01-02 15:22:43,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
112,nlsnsy,,401,515,277,2021-01-02 15:20:13,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
113,yagmurdalmzz,"İstanbul, Türkiye",965,749,283,2021-01-02 15:19:32,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
114,Esrefulukurt,,202,28,1801,2021-01-02 15:19:12,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
115,cobandk,,426,489,304,2021-01-02 15:14:40,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
116,gnsakts1,,489,557,367,2021-01-02 15:11:24,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
117,serhatsirin21,,392,466,320,2021-01-02 15:01:08,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
118,evrmogz,,540,640,359,2021-01-02 14:58:43,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
119,emineskrc,Türkiye,47,17,22,2021-01-02 14:56:53,561,öyle şeyler yap ki yüzünü güldürdüklerin seni hep sevgiyle ansın öyle şeyler yap ki adını hiç kimse unutmasın unutamasın ziraat bankası güler yüzüyle yıldır bir bankadan daha fazlası 
